record_id,timestamp,social_user_id,source_channel,original_text,reaction_label,context_content
REC_001,10/25/2023 8:30,FB_1001,Fanpage_Cmt,"Gói Âu Cơ lãi ổn phết ❤️, gửi 2 tháng rồi thấy ok",LOVE,
REC_002,10/25/2023 9:15,FB_1002,Fanpage_Cmt,nạp tiền từ sáng mà giờ chưa thấy vào ví ad ơi??? 😡,ANGRY,
REC_003,10/25/2023 9:20,Zalo_882,Zalo_OA,cho mình hỏi lãi suất gói lộc phát tính như nào,NONE,
REC_004,10/25/2023 10:05,FB_1003,Fanpage_Cmt,App lừa đảo à? Rút tiền 3 ngày không về. Trả tiền bố mày!,ANGRY,
REC_005,10/25/2023 10:10,FB_1004,Fanpage_Cmt,Uy tín quá cơ 😆 nạp cái mất hút luôn,HAHA,
REC_006,10/25/2023 11:00,FB_1005,Fanpage_Post_Reaction,,ANGRY,Thông báo: Hệ thống tạm dừng nạp tiền qua cổng Napas để bảo trì từ 12h-14h.
REC_007,10/25/2023 11:30,FB_1006,Fanpage_Cmt,"Lãi suất ngon nhưng nạp rút hơi chán, hay lỗi vặt",LIKE,
REC_008,10/25/2023 12:45,App_User_99,App_Store,Giao diện đẹp. Mỗi tội xác thực eKYC mãi k đc.,2_STAR,
REC_009,10/25/2023 13:00,FB_1007,Fanpage_Cmt,Tuyệt vời 👏 10 điểm cho chất lượng,LOVE,
REC_010,10/25/2023 13:15,FB_1008,Fanpage_Post_Reaction,,LOVE,Ra mắt gói tích lũy mới: Lãi suất lên tới 8.5%/năm.
REC_011,10/25/2023 14:20,FB_1009,Fanpage_Cmt,ck xong rồi mà app vẫn báo pending là sao shop,SAD,
REC_012,10/25/2023 15:00,FB_1010,Fanpage_Cmt,app như hạch. xoá app đây,ANGRY,
REC_013,10/25/2023 15:30,FB_1011,Fanpage_Cmt,Nạp nhanh cơ mà rút về techcombank thì hơi lâu nha,LIKE,
REC_014,10/25/2023 16:00,FB_1012,Fanpage_Cmt,Có an toàn không mọi người? Thấy lãi cao cũng ham mà hơi rén,NONE,
REC_015,10/25/2023 16:45,FB_1013,Fanpage_Cmt,Sập sàn rồi à ae ơi ko vào đc app,WOW,
REC_016,10/25/2023 17:10,FB_1014,Fanpage_Cmt,CSKH hỗ trợ nhiệt tình. Thanks ad.,LOVE,
REC_017,10/25/2023 18:00,FB_1015,Fanpage_Cmt,Lãi thấp thế này thà gửi ngân hàng còn hơn haha,HAHA,
REC_018,10/25/2023 19:20,Zalo_991,Zalo_OA,k nhận đc otp để đổi mk,NONE,
REC_019,10/25/2023 20:00,FB_1016,Fanpage_Cmt,Đã nhận được tiền lãi. Uy tín nhé.,LIKE,
REC_020,10/25/2023 21:00,FB_1017,Fanpage_Cmt,Nạp tiền mượt tuy nhiên lúc rút thì bắt xác thực khuôn mặt phiền phức vãi,ANGRY,
REC_021,10/26/2023 21:00,FB_1018,Fanpage_Cmt,như đb cc,NONE,
REC_022,10/27/2023 21:00,FB_1019,Fanpage_Cmt,như muối bỏ biển,NONE,
