record_id,timestamp,social_user_id,source_channel,original_text,reaction_label,context_content,processed_text,segment_id,parent_id,segment_content,is_split
REC_001,10/25/2023 8:30,FB_1001,Fanpage_Cmt,"Gói Âu Cơ lãi ổn phết ❤️, gửi 2 tháng rồi thấy ok",LOVE,,"gói âu cơ lãi ổn phết [ICON_POS] , gửi 2 tháng rồi thấy ok",REC_001_0,REC_001,"gói âu cơ lãi ổn phết [ICON_POS] , gửi 2 tháng rồi thấy ok",False
REC_002,10/25/2023 9:15,FB_1002,Fanpage_Cmt,nạp tiền từ sáng mà giờ chưa thấy vào ví ad ơi??? 😡,ANGRY,,nạp tiền từ sáng mà giờ chưa thấy vào ví admin ơi??? [ICON_NEG],REC_002_0,REC_002,nạp tiền từ sáng mà giờ chưa thấy vào ví admin ơi??? [ICON_NEG],False
REC_003,10/25/2023 9:20,Zalo_882,Zalo_OA,cho mình hỏi lãi suất gói lộc phát tính như nào,NONE,,cho mình hỏi lãi suất gói lộc phát tính như nào,REC_003_0,REC_003,cho mình hỏi lãi suất gói lộc phát tính như nào,False
REC_004,10/25/2023 10:05,FB_1003,Fanpage_Cmt,App lừa đảo à? Rút tiền 3 ngày không về. Trả tiền bố mày!,ANGRY,,app lừa đảo à? rút tiền 3 ngày không về. trả tiền bố mày!,REC_004_0,REC_004,app lừa đảo à? rút tiền 3 ngày không về. trả tiền bố mày!,False
REC_005,10/25/2023 10:10,FB_1004,Fanpage_Cmt,Uy tín quá cơ 😆 nạp cái mất hút luôn,HAHA,,uy tín quá cơ [ICON_LAUGH] nạp cái mất hút luôn,REC_005_0,REC_005,uy tín quá cơ [ICON_LAUGH] nạp cái mất hút luôn,False
REC_006,10/25/2023 11:00,FB_1005,Fanpage_Post_Reaction,,ANGRY,Thông báo: Hệ thống tạm dừng nạp tiền qua cổng Napas để bảo trì từ 12h-14h.,[POST_REACTION],REC_006_0,REC_006,[POST_REACTION],False
REC_007,10/25/2023 11:30,FB_1006,Fanpage_Cmt,"Lãi suất ngon nhưng nạp rút hơi chán, hay lỗi vặt",LIKE,,"lãi suất ngon nhưng nạp rút hơi chán, hay lỗi vặt",REC_007_0,REC_007,lãi suất ngon,True
REC_007,10/25/2023 11:30,FB_1006,Fanpage_Cmt,"Lãi suất ngon nhưng nạp rút hơi chán, hay lỗi vặt",LIKE,,"lãi suất ngon nhưng nạp rút hơi chán, hay lỗi vặt",REC_007_1,REC_007,"nạp rút hơi chán, hay lỗi vặt",True
REC_008,10/25/2023 12:45,App_User_99,App_Store,Giao diện đẹp. Mỗi tội xác thực eKYC mãi k đc.,2_STAR,,giao diện đẹp. mỗi tội xác thực ekyc mãi không đc.,REC_008_0,REC_008,giao diện đẹp.,True
REC_008,10/25/2023 12:45,App_User_99,App_Store,Giao diện đẹp. Mỗi tội xác thực eKYC mãi k đc.,2_STAR,,giao diện đẹp. mỗi tội xác thực ekyc mãi không đc.,REC_008_1,REC_008,xác thực ekyc mãi không đc.,True
REC_009,10/25/2023 13:00,FB_1007,Fanpage_Cmt,Tuyệt vời 👏 10 điểm cho chất lượng,LOVE,,tuyệt vời 👏 10 điểm cho chất lượng,REC_009_0,REC_009,tuyệt vời 👏 10 điểm cho chất lượng,False
REC_010,10/25/2023 13:15,FB_1008,Fanpage_Post_Reaction,,LOVE,Ra mắt gói tích lũy mới: Lãi suất lên tới 8.5%/năm.,[POST_REACTION],REC_010_0,REC_010,[POST_REACTION],False
REC_011,10/25/2023 14:20,FB_1009,Fanpage_Cmt,ck xong rồi mà app vẫn báo pending là sao shop,SAD,,chuyển khoản xong rồi mà app vẫn báo pending là sao shop,REC_011_0,REC_011,chuyển khoản xong rồi mà app vẫn báo pending là sao shop,False
REC_012,10/25/2023 15:00,FB_1010,Fanpage_Cmt,app như hạch. xoá app đây,ANGRY,,app như hạch. xoá app đây,REC_012_0,REC_012,app như hạch. xoá app đây,False
REC_013,10/25/2023 15:30,FB_1011,Fanpage_Cmt,Nạp nhanh cơ mà rút về techcombank thì hơi lâu nha,LIKE,,nạp nhanh cơ mà rút về techcombank thì hơi lâu nha,REC_013_0,REC_013,nạp nhanh,True
REC_013,10/25/2023 15:30,FB_1011,Fanpage_Cmt,Nạp nhanh cơ mà rút về techcombank thì hơi lâu nha,LIKE,,nạp nhanh cơ mà rút về techcombank thì hơi lâu nha,REC_013_1,REC_013,rút về techcombank thì hơi lâu nha,True
REC_014,10/25/2023 16:00,FB_1012,Fanpage_Cmt,Có an toàn không mọi người? Thấy lãi cao cũng ham mà hơi rén,NONE,,có an toàn không mọi người? thấy lãi cao cũng ham mà hơi rén,REC_014_0,REC_014,có an toàn không mọi người? thấy lãi cao cũng ham mà hơi rén,False
REC_015,10/25/2023 16:45,FB_1013,Fanpage_Cmt,Sập sàn rồi à ae ơi ko vào đc app,WOW,,sập sàn rồi à anh em ơi không vào được app,REC_015_0,REC_015,sập sàn rồi à anh em ơi không vào được app,False
REC_016,10/25/2023 17:10,FB_1014,Fanpage_Cmt,CSKH hỗ trợ nhiệt tình. Thanks ad.,LOVE,,chăm sóc khách hàng hỗ trợ nhiệt tình. cảm ơn ad.,REC_016_0,REC_016,chăm sóc khách hàng hỗ trợ nhiệt tình. cảm ơn ad.,False
REC_017,10/25/2023 18:00,FB_1015,Fanpage_Cmt,Lãi thấp thế này thà gửi ngân hàng còn hơn haha,HAHA,,lãi thấp thế này thà gửi ngân hàng còn hơn haha,REC_017_0,REC_017,lãi thấp thế này thà gửi ngân hàng còn hơn haha,False
REC_018,10/25/2023 19:20,Zalo_991,Zalo_OA,k nhận đc otp để đổi mk,NONE,,không nhận được otp để đổi mật khẩu,REC_018_0,REC_018,không nhận được otp để đổi mật khẩu,False
REC_019,10/25/2023 20:00,FB_1016,Fanpage_Cmt,Đã nhận được tiền lãi. Uy tín nhé.,LIKE,,đã nhận được tiền lãi. uy tín nhé.,REC_019_0,REC_019,đã nhận được tiền lãi. uy tín nhé.,False
REC_020,10/25/2023 21:00,FB_1017,Fanpage_Cmt,Nạp tiền mượt tuy nhiên lúc rút thì bắt xác thực khuôn mặt phiền phức vãi,ANGRY,,nạp tiền mượt tuy nhiên lúc rút thì bắt xác thực khuôn mặt phiền phức vãi,REC_020_0,REC_020,nạp tiền mượt,True
REC_020,10/25/2023 21:00,FB_1017,Fanpage_Cmt,Nạp tiền mượt tuy nhiên lúc rút thì bắt xác thực khuôn mặt phiền phức vãi,ANGRY,,nạp tiền mượt tuy nhiên lúc rút thì bắt xác thực khuôn mặt phiền phức vãi,REC_020_1,REC_020,lúc rút thì bắt xác thực khuôn mặt phiền phức vãi,True
